registered,gender,age,industry,household_size,dependents,relationship
0,M,51,Health Care and Social Assistance,2,0,spouse
0,F,29,Health Care and Social Assistance,2,0,spouse
0,M,38,Health Care and Social Assistance,2,0,self
0,F,39,Health Care and Social Assistance,4,1,spouse
0,F,32,Health Care and Social Assistance,3,1,self
1,F,42,Health Care and Social Assistance,3,1,spouse
0,F,20,Health Care and Social Assistance,3,1,spouse
0,F,37,Health Care and Social Assistance,5,1,spouse
0,M,34,Health Care and Social Assistance,4,1,spouse
1,F,35,Public Administration,2,0,spouse
0,F,35,Public Administration,,0,spouse
0,M,24,Public Administration,5,1,spouse
1,M,21,Health Care and Social Assistance,3,0,spouse
1,M,21,Manufacturing,4,0,spouse
1,M,56,Manufacturing,1,0,self
1,M,64,Health Care and Social Assistance,2,0,self
1,M,23,Manufacturing,5,1,spouse
0,M,23,Manufacturing,1,1,spouse
0,F,62,Health Care and Social Assistance,2,0,spouse
1,F,24,Health Care and Social Assistance,7,1,spouse
1,M,29,Educational Services,5,1,spouse
1,M,29,Educational Services,1,1,spouse
1,F,55,Health Care and Social Assistance,4,1,spouse
1,M,44,Health Care and Social Assistance,4,1,spouse
0,F,31,Health Care and Social Assistance,4,1,spouse
0,M,31,Health Care and Social Assistance,3,1,spouse
0,M,31,Health Care and Social Assistance,,0,spouse
1,F,59,Health Care and Social Assistance,1,0,self
1,M,54,Manufacturing,2,0,spouse
1,F,50,Health Care and Social Assistance,3,0,spouse
0,F,50,Health Care and Social Assistance,,0,spouse
0,F,59,Manufacturing,2,0,self
0,M,26,Manufacturing,1,0,self
0,F,25,Manufacturing,6,1,spouse
0,F,28,Manufacturing,2,0,spouse
1,F,28,Manufacturing,,0,spouse
1,F,56,Health Care and Social Assistance,1,0,self
1,M,20,Information,2,0,spouse
1,M,20,Information,,0,spouse
0,F,32,Information,2,0,spouse
0,F,32,Information,,0,spouse
0,M,23,Information,6,1,spouse
0,M,23,Information,,0,spouse
0,F,38,Information,4,1,spouse
0,F,38,Information,,0,spouse
0,F,23,Information,4,0,spouse
0,F,23,Information,,0,spouse
0,F,35,Information,5,1,spouse
0,F,35,Information,,0,spouse
0,F,24,Health Care and Social Assistance,2,0,self
1,F,40,Information,4,1,spouse
1,F,40,Information,,0,spouse
1,M,58,Information,2,0,spouse
1,M,58,Information,,0,spouse
1,M,37,Health Care and Social Assistance,3,1,spouse
1,M,37,Health Care and Social Assistance,1,1,spouse
1,M,19,Manufacturing,6,1,spouse
0,M,19,Manufacturing,3,1,spouse
0,F,24,Manufacturing,9,1,spouse
0,F,24,Manufacturing,4,1,spouse
0,M,47,Retail Trade,5,1,self
0,F,35,Health Care and Social Assistance,4,1,spouse
0,F,35,Health Care and Social Assistance,1,1,spouse
1,M,29,Retail Trade,1,0,self
1,M,35,"Professional, Scientific, and Technical Services",4,1,spouse
1,M,35,"Professional, Scientific, and Technical Services",1,1,spouse
1,F,39,"Professional, Scientific, and Technical Services",6,1,spouse
1,M,59,Health Care and Social Assistance,2,0,spouse
0,F,35,Information,5,1,spouse
0,F,35,Information,,0,spouse
0,M,62,Health Care and Social Assistance,1,0,self
0,F,34,Unknown,2,0,spouse
1,M,32,Health Care and Social Assistance,1,0,self
1,M,48,Health Care and Social Assistance,5,1,self
1,F,24,Health Care and Social Assistance,4,0,spouse
1,M,26,Health Care and Social Assistance,1,0,self
0,M,35,Health Care and Social Assistance,3,1,self
0,F,38,Health Care and Social Assistance,3,1,self
0,M,25,Health Care and Social Assistance,4,0,spouse
0,F,39,Health Care and Social Assistance,4,1,spouse
1,M,32,Health Care and Social Assistance,5,1,self
1,M,29,Health Care and Social Assistance,2,0,spouse
1,F,34,Health Care and Social Assistance,4,1,spouse
